variant,fold,split,n_features,degradation_slope_error,mae,mse,rmse,runtime_seconds
hgb_raw,2023-06-18::Canadian Grand Prix,development,37,0.060629805947254777,1.55329012816664,3.1996599185392114,1.7887593238161503,1.0490752320038155
hgb_track_pca4,2023-06-18::Canadian Grand Prix,development,28,0.059460191301580013,1.0520430570234824,1.7623692579760541,1.327542563527081,0.9299416610738263
hgb_raw,2023-07-02::Austrian Grand Prix,development,37,0.09314191662939397,1.3395774633951811,3.771272216675253,1.941976368722146,0.9391559759387746
hgb_track_pca4,2023-07-02::Austrian Grand Prix,development,28,0.06769809181577394,1.2945137929190778,3.6584200780442337,1.9126996831819243,0.939867701032199
hgb_raw,2023-07-09::British Grand Prix,development,37,0.026514929826019846,0.6561265176045105,0.7941323028865778,0.8911410117857766,1.0405076370807365
hgb_track_pca4,2023-07-09::British Grand Prix,development,28,0.029674872850021915,0.7896052865083257,1.036464823080598,1.0180691641929824,0.973741119960323
hgb_raw,2023-07-23::Hungarian Grand Prix,development,37,0.05516387652379623,1.4584673739272247,2.997283130463662,1.7312663372409405,1.0597894169623032
hgb_track_pca4,2023-07-23::Hungarian Grand Prix,development,28,0.05871067232956139,1.302222335647555,2.509864541022649,1.5842552007245074,1.004548903903924
hgb_raw,2023-07-30::Belgian Grand Prix,development,37,0.21880183538960135,1.6533523266844639,5.07119371235051,2.251931107372184,1.385050724959001
hgb_track_pca4,2023-07-30::Belgian Grand Prix,development,28,0.17116145218207043,1.443926762352556,3.576675058966253,1.891209945766533,1.3672204850008711
hgb_raw,2023-08-27::Dutch Grand Prix,development,37,0.09597466300996949,1.6426703877934354,10.249304671677256,3.201453524834814,1.1173412679927424
hgb_track_pca4,2023-08-27::Dutch Grand Prix,development,28,0.03819753640263001,1.488761981041941,9.271235614969015,3.0448703773673214,1.05100641597528
hgb_raw,2023-09-03::Italian Grand Prix,development,37,0.215924120702174,1.2608338568296886,15.592965906461224,3.9487929682956566,1.1196787860244513
hgb_track_pca4,2023-09-03::Italian Grand Prix,development,28,0.20731899585444688,1.4058508336084121,15.80496170353076,3.975545459874753,1.695734114968218
hgb_raw,2023-09-17::Singapore Grand Prix,development,37,0.13359402651595442,1.3416686675865523,3.219589993460599,1.7943215969999913,1.6654979770537466
hgb_track_pca4,2023-09-17::Singapore Grand Prix,development,28,0.1303779361680586,1.2389720015465921,3.0314905833233157,1.7411176247810818,1.1536118909716606
hgb_raw,2023-09-24::Japanese Grand Prix,development,37,0.0764127092712169,1.1941715972958191,2.1792692008095793,1.4762348054457934,1.3060334450565279
hgb_track_pca4,2023-09-24::Japanese Grand Prix,development,28,0.06946400353473044,2.013312127175598,4.97962670597902,2.23150772034941,1.1169502600096166
hgb_raw,2023-10-08::Qatar Grand Prix,development,37,0.026772738742960895,2.069559581436701,5.8448786350135045,2.4176183807651497,1.229205001029186
hgb_track_pca4,2023-10-08::Qatar Grand Prix,development,28,0.045628784780959185,2.3590932570899468,8.05015527643272,2.837279555565986,1.1252752500586212
hgb_raw,2023-10-22::United States Grand Prix,development,37,0.011988874366615393,1.0027400579540082,1.6168386599281468,1.2715497080052147,1.3326100759441033
hgb_track_pca4,2023-10-22::United States Grand Prix,development,28,0.024294131239076328,0.8642049049191415,1.281549504226877,1.1320554333719162,1.1733845949638635
hgb_raw,2023-10-29::Mexico City Grand Prix,development,37,0.1597723371234692,1.1571366577476845,2.424758504766982,1.5571636088629166,1.30309333500918
hgb_track_pca4,2023-10-29::Mexico City Grand Prix,development,28,0.1582070687206598,1.2365930350799794,2.570605695336284,1.6033108542438936,1.2995743970386684
hgb_raw,2023-11-05::São Paulo Grand Prix,development,37,0.04671165607384849,0.8156348698366506,1.0739467525931894,1.0363140221926892,1.3016078940127045
hgb_track_pca4,2023-11-05::São Paulo Grand Prix,development,28,0.05102877320740439,0.8514695037326823,1.1245059083659943,1.0604272291703916,1.1603674869984388
hgb_raw,2023-11-18::Las Vegas Grand Prix,development,37,0.09044878796405838,2.2823949466056477,15.318176017137995,3.9138441482943587,1.4248600050341338
hgb_track_pca4,2023-11-18::Las Vegas Grand Prix,development,28,0.09423039999952226,2.2925545129043474,15.732817895694014,3.966461634214305,1.691163012990728
hgb_raw,2023-11-26::Abu Dhabi Grand Prix,development,37,0.2632240717603499,1.3839884543593637,8.864219116512398,2.977283848831414,1.4001878870185465
